<org.opsli.plugins.email.service.EmailPluginImpl: cn.hutool.extra.mail.MailAccount getMailAccount(org.opsli.plugins.email.conf.EmailConfig)>-><cn.hutool.extra.mail.MailAccount: cn.hutool.extra.mail.MailAccount setAuth(boolean)>
<io.netty.util.collection.IntObjectHashMap: boolean equals(java.lang.Object)>-><org.opsli.modulars.generator.table.wrapper.GenTableAndColumnModel: boolean equals(java.lang.Object)>
<java.util.WeakHashMap$Entry: boolean equals(java.lang.Object)>-><org.opsli.api.wrapper.system.role.RoleModel: boolean equals(java.lang.Object)>
<com.fasterxml.jackson.databind.ser.std.RawSerializer: void serialize(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider)>-><org.opsli.core.options.SmsAliYunConfigFactory$SmsAliYunConfigOption: java.lang.String toString()>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><javassist.CtMember: java.lang.String toString()>
<java.util.AbstractList: int hashCode()>-><org.opsli.api.wrapper.system.menu.MenuFullModel: int hashCode()>
<java.util.AbstractMap: boolean containsKey(java.lang.Object)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateDetailModel: boolean equals(java.lang.Object)>
<java.util.Hashtable: java.lang.Object remove(java.lang.Object)>-><org.opsli.api.wrapper.test.TestModel: int hashCode()>
<org.springframework.data.redis.connection.RedisSentinelConfiguration: void <init>(org.springframework.core.env.PropertySource)>-><org.opsli.core.options.EmailConfigFactory$EmailConfigOption: java.lang.String toString()>
<com.google.common.base.Objects: boolean equal(java.lang.Object,java.lang.Object)>-><org.opsli.core.utils.SystemInfoUtil$JvmInfo: boolean equals(java.lang.Object)>
<cn.hutool.core.map.CaseInsensitiveMap: java.lang.Object customKey(java.lang.Object)>-><org.opsli.core.utils.SystemInfoUtil$SysInfo: java.lang.String toString()>
<org.springframework.boot.convert.NumberToPeriodConverter: java.lang.Object convert(java.lang.Object,org.springframework.core.convert.TypeDescriptor,org.springframework.core.convert.TypeDescriptor)>-><org.opsli.api.wrapper.system.org.SysOrgModel: java.lang.String toString()>
<org.apache.commons.beanutils.converters.DateTimeConverter: java.lang.Object convertToType(java.lang.Class,java.lang.Object)>-><org.opsli.api.wrapper.system.menu.MenuFullModel: java.lang.String toString()>
<org.opsli.core.utils.SearchHisUtil: void putSearchHis(javax.servlet.http.HttpServletRequest,java.util.List)>-><io.netty.util.collection.IntObjectHashMap$KeySet$1: java.lang.Object next()>
<com.alibaba.fastjson.JSONObject: java.lang.String getString(java.lang.String)>-><org.opsli.api.wrapper.system.dict.DictModel: java.lang.String toString()>
<java.util.concurrent.ConcurrentHashMap$TreeNode: java.util.concurrent.ConcurrentHashMap$TreeNode findTreeNode(int,java.lang.Object,java.lang.Class)>-><org.opsli.api.wrapper.system.dict.DictModel: boolean equals(java.lang.Object)>
<reactor.util.context.Context1: reactor.util.context.Context put(java.lang.Object,java.lang.Object)>-><org.opsli.api.wrapper.system.menu.MenuFullModel: boolean equals(java.lang.Object)>
<cn.hutool.json.serialize.JSONWriter: cn.hutool.json.serialize.JSONWriter writeObjValue(java.lang.Object)>-><org.opsli.api.wrapper.system.tenant.TenantModel: java.lang.String toString()>
<com.alibaba.fastjson.serializer.StringCodec: java.lang.Object deserialze(com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.reflect.Type,java.lang.Object)>-><org.opsli.core.options.SmsAliYunConfigFactory$SmsAliYunConfigOption: java.lang.String toString()>
<org.apache.commons.beanutils.converters.URLConverter: java.lang.Object convertToType(java.lang.Class,java.lang.Object)>-><org.opsli.api.wrapper.system.user.UserAvatarModel: java.lang.String toString()>
<com.alibaba.fastjson.serializer.StringCodec: java.lang.Object deserialze(com.alibaba.fastjson.parser.DefaultJSONParser)>-><org.opsli.modulars.generator.table.wrapper.GenTableModel: java.lang.String toString()>
<com.fasterxml.jackson.databind.ser.std.RawSerializer: void serialize(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider)>-><org.opsli.api.wrapper.system.logs.OperationLogModel: java.lang.String toString()>
<java.lang.invoke.InvokerBytecodeGenerator: java.lang.String debugString(java.lang.Object)>-><org.opsli.modulars.system.role.entity.SysRoleMenuRef: java.lang.String toString()>
